拼音声调,2075北京话音系,UntPhesoca宽,UntPhesoca严,Standard Chinese (Beijing),Standard Chinese (Beijing)严,胡裕树《现代汉语》,黄伯荣、廖序东《现代汉语》,钱乃荣《现代汉语》,吴宗济,赵元任《汉语口语语法》,《汉语方音字汇》
chi,t͡ʂʰɘ̻˞,t͡ʂʰɻ̍,t͡ʂ̺ʰɻ̺̍,tʃ̺ʰɹ̩,tʃ̺ʰɹ̩,tʂʻʅ,tʂʻʅ,tʂʻʅ,tʂʻʅ,tʂʰɹ̩,tʂʻʅ
chong,t͡ʂʰo̯ũ,t͡ʂʰʊŋ,t͡ʂ̺ʰʷʊŋ̚ʷ,tʃ̺ʰuŋ,tʃ̺ʰʊŋ,tʂʻuŋ,tʂʻuŋ,tʂʻʊᵑ,tʂʻʊŋ,tʂʰɷŋ,tʂʻʊŋ
chou,t͡ʂʰɔo̯,t͡ʂʰoʊ,t͡ʂ̺ʰʷo̜̽ʊ̯,tʃ̺ʰou,tʃ̺ʰo̟u,tʂʻou,tʂʻou,tʂʻɤᵘ,tʂʻoʊ,tʂʰou,tʂʻoʊ
chu,t͡ʂʰoʊ̯,t͡ʂʰu,t͡ʂ̺ʰu,tʃ̺ʰu,tʃ̺ʰu,tʂʻu,tʂʻu,tʂʻu,tʂʻu,tʂʰu,tʂʻu
chuai,t͡ʂʰwəɛ̯,t͡ʂʰwaɪ,t͡ʂ̺ʰwa̠ɪ̯,tʃ̺ʰuai,tʃ̺ʰua̝i,tʂʻuai,tʂʻuai,tʂʻuaⁱ,tʂʻuae,tʂʰuai,tʂʻuæɪ
chuan,t͡ʂʰwɞɹ̃,t͡ʂʰwan,t͡ʂ̺ʰwa̠n̚,tʃ̺ʰuan,tʃ̺ʰu̟an,tʂʻuan,tʂʻuan,tʂʻuaⁿ,tʂʻuan,tʂʰuan,tʂʻuan
chuang,t͡ʂʰwoɰ̃,t͡ʂʰwɑŋ,t͡ʂ̺ʰwɑ̟ŋ̚,tʃ̺ʰuaŋ,tʃ̺ʰu̟aŋ,tʂʻuaŋ,tʂʻuɑŋ,tʂʻuɑᵑ,tʂʻuɑŋ,tʂʰuɑŋ,tʂʻuɑŋ
chui,t͡ʂʰwɛe̯,t͡ʂʰweɪ,t͡s̟ʰuɘ̹̑ɪ̯,tʃ̺ʰuei,tʃ̺ʰue̠i,tʂʻuei,tʂʻuei,tʂʻueⁱ,tʂʻueɪ,tʂʰuei,tʂʻueɪ
chun,t͡ʂʰwɵ̯ɹ̩̃,t͡ʂʰwən,t͡s̟ʰuɘ̹̑n̚,tʃ̺ʰuən,tʃ̺ʰuən,tʂʻuən,tʂʻuən,tʂʻuəⁿ,tʂʻuən,tʂʰuən,tʂʻuən
chuo,t͡ʂʰʊ,t͡ʂʰwo,t͡s̟ʰwo̜̽,tʃ̺ʰuo,tʃ̺ʰuo̟,tʂʻuo,tʂʻuo,tʂʻuo,tʂʻuo,tsʰuɤ,tʂʻuo̞͑
ci,t͡sʰɘʴ,t͡sʰɹ̩,t͡s̟ʰɹ̟̍,tsʰɹ̩,tsʰɹ̩,tsʻɿ,tsʻɿ,tsʻɿ,tsʻɿ,tsʰz̩,tsʻɿ
cong,t͡sʰo̯ũ,t͡sʰʊŋ,t͡s̟ʰʷʊŋ̚ʷ,tsʰuŋ,tsʰʊŋ,tsʻuŋ,tsʻuŋ,tsʻʊᵑ,tsʻʊŋ,tsʰɷŋ,tsʻʊŋ
cou,t͡sʰɔo̯,t͡sʰoʊ,t͡s̟ʰʷo̜̽ʊ̯,tsʰou,tsʰo̟u,tsʻou,tsʻou,tsʻɤᵘ,tsʻoʊ,tsʰou,tsʻoʊ
cu,t͡sʰoʊ̯,t͡sʰu,t͡s̟ʰu,tsʰu,tsʰu,tsʻu,tsʻu,tsʻu,tsʻu,tsʰu,tsʻu
cuan,t͡sʰwɞɹ̃,t͡sʰwan,t͡s̟ʰwa̠n̚,tsʰuan,tsʰu̟an,tsʻuan,tsʻuan,tsʻuaⁿ,tsʻuan,tsʰuan,tsʻuan
cui,t͡sʰwɛe̯,t͡sʰweɪ,t͡s̟ʰuɘ̹̑ɪ̯,tsʰuei,tsʰue̠i,tsʻuei,tsʻuei,tsʻueⁱ,tsʻueɪ,tsʰuei,tsʻueɪ
cun,t͡sʰwɵ̯ɹ̩̃,t͡sʰwən,t͡s̟ʰuɘ̹̑n̚,tsʰuən,tsʰuən,tsʻuən,tsʻuən,tsʻuəⁿ,tsʻuən,tsʰuən,tsʻuən
cuo,t͡sʰʊ,t͡sʰwo,t͡s̟ʰwo̜̽,tsʰuo,tsʰuo̟,tsʻuo,tsʻuo,tsʻuo,tsʻuo,tsʰuɤ,tsʻuo̞͑
da,tɜ,ta,d̥ä,ta,ta̠,tᴀ,tᴀ,tᴀ,tᴀ,d̥ᴀ,tᴀ
dai,tɜɛ̯,taɪ,d̥a̠ɪ̯,tai,taɪ,tai,tai,taⁱ,tae,d̥ai,tæɪ
dan,tɜɹ̃,tan,d̥a̠n̚,tan,ta̝n,tan,tan,tæⁿ,tan,d̥an,tan
dang,tʌɰ̃,tɑŋ,d̥ɑ̟ŋ̚,taŋ,ta̝ŋ,taŋ,tɑŋ,tɑᵑ,tɑŋ,d̥ɑŋ,tɑŋ
dao,tʌɔ̯,tɑʊ,d̥ɑ̟ʊ̯,tau,ta̝ʊ,tau,tɑu,tɑᵘ,tɑo,d̥ɑu,tɑʊ
de,tɯ̽,tɤ,d̥ɤʌ̟̑,tɤ,tɤʌ̯,tɤ,tɤ,tɤ,tɤᶺ,d̥ɤ,tɤᶺ
dei,tɛe̯,teɪ,d̥e̽ɪ̯,tei,te̠i,tei,tei,teⁱ,teɪ,d̥ei,teɪ
den,tɘ̯ɹ̩̃,tən,d̥ə̟n̚,tən,tən,tən,tən,təⁿ,tən,d̥ən,tən
deng,tɤ̯ɯ̃,tɤŋ,d̥ɤ̽ŋ̚,təŋ,təŋ,təŋ,təŋ,təᵑ,təŋ,d̥ʌŋ,tʌŋ
di,ti̞,ti,d̥i,ti,ti,ti,ti,ti,ti,d̥i,ti
dia,tjɜ,tja,d̥jä,tia,tia,tia,tiᴀ,tiᴀ,tiᴀ,d̥iᴀ,tiᴀ
dian,tɪɹ̃,tjɛn,d̥jɛ̠n̚,tien,tie̞n,tian,tiɛn,tiɛⁿ,tiɛn,d̥iɛn,tiɛn
diao,tjəɔ̯,tjɑʊ,d̥jɑ̟ʊ̯,tiau,tia̝u,tiau,tiɑu,tiɑᵘ,tiɑʊ,d̥iɑu,tiɑʊ
die,tɪ,tjɛ,d̥je̞ɛ̠̑,tie,tie̞,tiɛ,tiɛ,tiɛ,tiᴇ,d̥iɛ,tiᴇ
ding,tjɘ̯ɯ̃,tiŋ,d̥jɪŋ̚,tiŋ,tiŋ,tiŋ,tiŋ,tiɪᵑ,tiəŋ,d̥iŋ,tiᵊŋ
dong,to̯ũ,tʊŋ,d̥ʷʊŋ̚ʷ,tuŋ,tʊŋ,tuŋ,tuŋ,tʊᵑ,tʊŋ,d̥ɷŋ,tʊŋ
dou,tɔo̯,toʊ,d̥ʷo̜̽ʊ̯,tou,to̟u,tou,tou,tɤᵘ,toʊ,d̥ou,toʊ
du,toʊ̯,tu,d̥u,tu,tu,tu,tu,tu,tu,d̥u,tu
duan,twɞɹ̃,twan,d̥wa̠n̚,tuan,tu̟an,tuan,tuan,tuaⁿ,tuan,d̥uan,tuan
dui,twɛe̯,tweɪ,d̥uɘ̹̑ɪ̯,tuei,tue̠i,tuei,tuei,tueⁱ,tueɪ,d̥uei,tueɪ
